官方 ROM (lineage-23.2-20260817) vendor 模块 __versions CRC 表
vermagic: 5.4.302-qgki-gc8c87694a044 SMP preempt mod_unload modversions aarch64
共 488 条符号

btpower: module_layout 0x392bc26a
btpower: __stack_chk_fail 0xf0fdf6cb
btpower: __stack_chk_guard 0x8f678b07
btpower: cpu_hwcaps 0x5c1c3eb4
btpower: cpu_hwcap_keys 0x5e2d7875
btpower: arm64_const_caps_ready 0x14b89635
btpower: kmalloc_caches 0x91ea9a65
btpower: __unregister_chrdev 0x6bc3fbc0
btpower: of_property_read_variable_u32_array 0x8fc09379
btpower: regulator_is_enabled 0x154ff6b1
btpower: __arch_copy_to_user 0x6b2941b2
btpower: strlen 0x98cf60b3
btpower: strnstr 0xc310b981
btpower: __register_chrdev 0xd7df2795
btpower: regulator_put 0x7b6d3a08
btpower: rfkill_unregister 0x083eb21c
btpower: devm_ioremap 0xda95449d
btpower: platform_get_resource_byname 0x69f2a7ae
btpower: scnprintf 0x96848186
btpower: __cfi_slowpath 0x2cd90edd
btpower: rfkill_destroy 0xdb68bbad
btpower: rfkill_register 0x25277497
btpower: rfkill_init_sw_state 0xaad6d92f
btpower: device_create_file 0xf7cac473
btpower: _dev_err 0xd72f0f38
btpower: rfkill_alloc 0x03c45b9c
btpower: clk_disable 0xb6e6d99d
btpower: gpiod_set_raw_value 0x1686c308
btpower: gpiod_direction_input 0xa8f08acb
btpower: usleep_range 0x12a38747
btpower: gpiod_direction_output_raw 0x2266fb56
btpower: gpio_to_desc 0x85447f6f
btpower: gpiod_get_raw_value 0xc53c2d17
btpower: msleep 0xf9a482f9
btpower: gpio_request 0x47229b5c
btpower: clk_unprepare 0xb077e70a
btpower: clk_enable 0x815588a6
btpower: clk_prepare 0x7c9a7371
btpower: regulator_disable 0xafab4647
btpower: regulator_enable 0xb022ec08
btpower: regulator_set_load 0xef9acdfb
btpower: regulator_set_voltage 0xd1482d65
btpower: regulator_get_voltage 0x273d947d
btpower: gpio_free 0xfe990052
btpower: of_property_read_string_helper 0x6e64b60f
btpower: devm_kmalloc 0x19c38c02
btpower: devm_clk_get 0xa28875f0
btpower: of_get_named_gpio_flags 0x47888a1c
btpower: of_get_property 0xb646ba78
btpower: regulator_get 0x472d2c4f
btpower: of_parse_phandle 0x0a8ee52e
btpower: snprintf 0x656e4a6e
btpower: of_device_get_match_data 0x83b49e0a
btpower: kmem_cache_alloc_trace 0x4a2650f5
btpower: kfree 0x037a0cba
btpower: platform_driver_unregister 0xa05b6762
btpower: class_destroy 0xcdf7225d
btpower: device_create 0x2850e8de
btpower: __class_create 0x337f9f2d
btpower: __platform_driver_register 0x96f7cbe6
btpower: printk 0xc5850110
qca_cld3_wlan: module_layout 0x392bc26a
qca_cld3_wlan: memmove 0x5a9f1d63
qca_cld3_wlan: memset 0xdcb764ad
qca_cld3_wlan: memcpy 0x4829a47e
qca_cld3_wlan: __stack_chk_fail 0xf0fdf6cb
qca_cld3_wlan: __stack_chk_guard 0x8f678b07
qca_cld3_wlan: icnss_get_soc_info 0xaafc8110
qca_cld3_wlan: icnss_wlan_disable 0xd8851eb3
qca_cld3_wlan: icnss_wlan_enable 0xf3f84beb
qca_cld3_wlan: icnss_unregister_driver 0x8b8b6448
qca_cld3_wlan: __icnss_register_driver 0xbcd763d3
qca_cld3_wlan: icnss_get_device_config 0x7616737a
qca_cld3_wlan: icnss_idle_restart 0x38f6b526
qca_cld3_wlan: icnss_idle_shutdown 0x3d3552d1
qca_cld3_wlan: icnss_is_rejuvenate 0xc31ae623
qca_cld3_wlan: icnss_is_pdr 0x61c3fdd0
qca_cld3_wlan: icnss_trigger_recovery 0xc2a54e82
qca_cld3_wlan: icnss_is_fw_down 0x9b5bd3f7
qca_cld3_wlan: icnss_is_qmi_disable 0xfae87903
qca_cld3_wlan: icnss_socinfo_get_serial_number 0xdb3e2b1a
qca_cld3_wlan: request_threaded_irq 0x2072ee9b
qca_cld3_wlan: icnss_smmu_unmap 0x95c45ee0
qca_cld3_wlan: icnss_smmu_map 0x54048803
qca_cld3_wlan: icnss_smmu_get_domain 0x835ad426
qca_cld3_wlan: icnss_athdiag_write 0x8a6d7d6a
qca_cld3_wlan: icnss_athdiag_read 0x2bdfdda8
qca_cld3_wlan: icnss_power_off 0x32f7f64a
qca_cld3_wlan: icnss_power_on 0x4a4c56c3
qca_cld3_wlan: icnss_get_irq 0x876181c7
qca_cld3_wlan: icnss_get_ce_id 0x738a9bef
qca_cld3_wlan: icnss_disable_irq 0x92385edd
qca_cld3_wlan: icnss_enable_irq 0xb37f3937
qca_cld3_wlan: icnss_ce_free_irq 0xd6f94b8d
qca_cld3_wlan: icnss_ce_request_irq 0xc1f3a330
qca_cld3_wlan: icnss_set_fw_log_mode 0x76fccaa0
qca_cld3_wlan: pci_write_config_dword 0x1d7187e5
qca_cld3_wlan: pci_read_config_dword 0x32fc7c5b
qca_cld3_wlan: pci_write_config_word 0x56c0f58e
qca_cld3_wlan: pci_read_config_word 0x2d628146
qca_cld3_wlan: disable_irq_nosync 0x27bbf221
qca_cld3_wlan: free_irq 0xc1514a3b
qca_cld3_wlan: __tasklet_hi_schedule 0x47939e0d
qca_cld3_wlan: device_init_wakeup 0xd360d95d
qca_cld3_wlan: ipa_get_hw_type 0x5c2ecd04
qca_cld3_wlan: tasklet_init 0x9545af6d
qca_cld3_wlan: tasklet_kill 0x82072614
